Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,2.1492,2.1735,2.1492,2.1532,0.2056,1091238
1972-06-02,2.1532,2.1735,2.1411,2.1492,0.2052,1174468
1972-06-05,2.1492,2.1694,2.1411,2.1492,0.2052,5209582
1972-06-06,2.1492,2.1573,2.1167,2.1248,0.2029,1424158
1972-06-07,2.1248,2.137,2.1127,2.1127,0.2018,675088
1972-06-08,2.1127,2.1289,2.0964,2.0964,0.2002,1038834
1972-06-09,2.0964,2.1005,2.0437,2.0843,0.1991,6590583
1972-06-12,2.0843,2.1086,2.0681,2.0843,0.1991,1430323
1972-06-13,2.0843,2.1046,2.0843,2.1005,0.2006,934026
1972-06-14,2.1086,2.1532,2.1086,2.1329,0.2037,2940794
1972-06-15,2.1329,2.1532,2.1208,2.1248,0.2029,1464232
1972-06-16,2.1248,2.1329,2.1005,2.1329,0.2037,752153
1972-06-19,2.1329,2.1451,2.1127,2.1208,0.2025,530206
1972-06-20,2.1208,2.1411,2.1208,2.1289,0.2033,897034
1972-06-21,2.1289,2.1329,2.1086,2.1086,0.2014,1612196
1972-06-22,2.1046,2.1046,2.0762,2.0964,0.2002,1282359
1972-06-23,2.0924,2.0924,2.0721,2.0924,0.1998,1276193
1972-06-26,2.0924,2.0924,2.0762,2.0843,0.1991,622684
1972-06-27,2.0843,2.1005,2.0843,2.1005,0.2006,878539
1972-06-28,2.1005,2.1127,2.0924,2.0964,0.2002,906282
1972-06-29,2.0964,2.1046,2.0883,2.0883,0.1994,450059
1972-06-30,2.0762,2.0762,2.0518,2.0721,0.1979,826135
1972-07-03,2.0721,2.0721,2.0518,2.064,0.1971,440811
1972-07-05,2.064,2.0681,2.0316,2.0518,0.196,1396415
1972-07-06,2.06,2.0964,2.06,2.0762,0.1983,1174468
1972-07-07,2.0762,2.0883,2.0518,2.0681,0.1975,1353258
1972-07-10,2.0681,2.0721,2.0437,2.0437,0.1952,527123
1972-07-11,2.0437,2.06,2.0316,2.0316,0.194,548702
1972-07-12,2.0316,2.06,2.0153,2.0153,0.1925,1803317
1972-07-13,2.0153,2.0194,1.991,2.0153,0.1925,681253
1972-07-14,2.0153,2.0275,2.0072,2.0113,0.1921,943273
1972-07-17,2.0113,2.0275,2.0032,2.0113,0.1921,585693
1972-07-18,2.0113,2.0356,1.9789,2.0316,0.194,1340928
1972-07-19,2.0316,2.0762,2.0275,2.0437,0.1952,1710839
1972-07-20,2.0437,2.0518,2.0153,2.0153,0.1925,493215
1972-07-21,2.0153,2.0518,2.0153,2.0437,0.1952,604188
1972-07-24,2.06,2.1127,2.06,2.1005,0.2006,1458066
1972-07-25,2.1005,2.1046,2.0843,2.0924,0.2019,1553627
1972-07-26,2.0924,2.0924,2.0802,2.0843,0.2011,431563
1972-07-27,2.0843,2.0883,2.0762,2.0762,0.2004,1109733
1972-07-28,2.0843,2.1127,2.0843,2.0964,0.2023,1815647
1972-07-31,2.0964,2.1127,2.0883,2.0964,0.2023,1260780
1972-08-01,2.0964,2.1005,2.0762,2.0964,0.2023,1427240
1972-08-02,2.0964,2.1248,2.0964,2.1248,0.2051,2142402
1972-08-03,2.137,2.1816,2.137,2.1613,0.2086,4334125
1972-08-04,2.1613,2.1694,2.1613,2.1694,0.2094,1189881
1972-08-07,2.1694,2.1816,2.1694,2.1735,0.2098,1932786
1972-08-08,2.1735,2.1735,2.1573,2.1654,0.209,949439
1972-08-09,2.1654,2.1694,2.1208,2.1329,0.2058,2823655
1972-08-10,2.1329,2.137,2.1208,2.137,0.2062,1205294
1972-08-11,2.1411,2.1573,2.1411,2.1532,0.2078,1285441
1972-08-14,2.1613,2.1776,2.1613,2.1654,0.209,1889629
1972-08-15,2.1654,2.1694,2.1329,2.1492,0.2074,1128229
1972-08-16,2.1411,2.1411,2.0924,2.0924,0.2019,1140559
1972-08-17,2.0924,2.1289,2.0924,2.1289,0.2055,2133154
1972-08-18,2.1289,2.137,2.1248,2.1289,0.2055,974099
1972-08-21,2.1289,2.137,2.1127,2.137,0.2062,1008008
1972-08-22,2.1532,2.1776,2.1532,2.1694,0.2094,1704674
1972-08-23,2.1735,2.2587,2.1735,2.2546,0.2176,3171988
1972-08-24,2.2546,2.2546,2.2181,2.2222,0.2145,2450661
1972-08-25,2.2222,2.2262,2.1938,2.1938,0.2117,1587535
1972-08-28,2.1938,2.214,2.1938,2.1938,0.2117,585693
1972-08-29,2.1897,2.1897,2.1289,2.1573,0.2082,1957446
1972-08-30,2.1573,2.1573,2.1411,2.1411,0.2066,906282
1972-08-31,2.1411,2.1857,2.1411,2.1857,0.2109,782979
1972-09-01,2.1857,2.2019,2.1816,2.1857,0.2109,696666
1972-09-05,2.1857,2.1938,2.1573,2.1573,0.2082,391489
1972-09-06,2.1573,2.1573,2.1289,2.1411,0.2066,662757
1972-09-07,2.1451,2.1694,2.1451,2.1492,0.2074,739822
1972-09-08,2.1492,2.1613,2.1411,2.1451,0.207,742905
1972-09-11,2.1451,2.1451,2.137,2.1411,0.2066,576445
1972-09-12,2.1411,2.1411,2.1127,2.1167,0.2043,1233037
1972-09-13,2.1167,2.1289,2.1005,2.1289,0.2055,776813
1972-09-14,2.1289,2.1411,2.1167,2.1248,0.2051,487050
1972-09-15,2.1248,2.137,2.1208,2.1289,0.2055,496297
1972-09-18,2.1248,2.1248,2.1127,2.1248,0.2051,299011
1972-09-19,2.1248,2.1289,2.1127,2.1167,0.2043,853878
1972-09-20,2.1167,2.1208,2.0883,2.1005,0.2027,1646105
1972-09-21,2.0924,2.0924,2.0478,2.0518,0.198,1593700
1972-09-22,2.0518,2.0681,2.0437,2.0681,0.1996,829217
1972-09-25,2.0681,2.0843,2.06,2.0721,0.2,675088
1972-09-26,2.0721,2.0924,2.0681,2.0843,0.2011,635014
1972-09-27,2.0843,2.1208,2.0843,2.1167,0.2043,1963612
1972-09-28,2.1167,2.1451,2.1005,2.1451,0.207,2105411
1972-09-29,2.1573,2.1735,2.1573,2.1613,0.2086,1618361
1972-10-02,2.1613,2.1735,2.1573,2.1654,0.209,712079
1972-10-03,2.1654,2.1654,2.1289,2.1329,0.2058,835383
1972-10-04,2.1329,2.1492,2.1289,2.1289,0.2055,795309
1972-10-05,2.1289,2.1289,2.1086,2.1167,0.2043,650427
1972-10-06,2.1167,2.1208,2.0802,2.1167,0.2043,1103568
1972-10-09,2.1167,2.1329,2.1127,2.1248,0.2051,672005
1972-10-10,2.1329,2.1532,2.1329,2.1411,0.2066,844630
1972-10-11,2.137,2.137,2.1208,2.137,0.2062,394572
1972-10-12,2.1289,2.1289,2.1208,2.1208,0.2047,403820
1972-10-13,2.1208,2.1248,2.0762,2.0883,0.2015,2530809
1972-10-16,2.0843,2.0843,2.0681,2.0762,0.2004,379159
1972-10-17,2.0762,2.0762,2.06,2.0681,0.1996,1692343
1972-10-18,2.0681,2.0964,2.0681,2.0762,0.2004,601106
1972-10-19,2.0762,2.0762,2.06,2.064,0.1992,1208376
1972-10-20,2.0681,2.1046,2.0681,2.1005,0.2027,1797152
1972-10-23,2.1005,2.1167,2.1005,2.1046,0.2031,2509231
1972-10-24,2.1086,2.137,2.1086,2.137,0.2062,1211459
1972-10-25,2.1329,2.1329,2.1167,2.1248,0.2072,1072742
1972-10-26,2.1248,2.1329,2.1208,2.1289,0.2076,1356341
1972-10-27,2.1289,2.1492,2.1248,2.1492,0.2096,1655352
1972-10-30,2.1492,2.1532,2.137,2.1411,0.2088,1353258
1972-10-31,2.1451,2.1573,2.1451,2.1492,0.2096,1565957
1972-11-01,2.1613,2.2059,2.1613,2.1978,0.2143,2308862
1972-11-02,2.2181,2.2627,2.2181,2.2587,0.2202,4608476
1972-11-03,2.2749,2.3357,2.2749,2.3357,0.2277,6266911
1972-11-06,2.3398,2.3844,2.3398,2.36,0.2301,3689864
1972-11-08,2.36,2.3965,2.3479,2.3479,0.2289,4451264
1972-11-09,2.3479,2.3965,2.3195,2.3965,0.2337,3307622
1972-11-10,2.3965,2.4452,2.3965,2.429,0.2368,8326083
1972-11-13,2.429,2.4411,2.4046,2.4046,0.2345,3113419
1972-11-14,2.4046,2.4452,2.3844,2.4452,0.2384,2515396
1972-11-15,2.4452,2.4614,2.4249,2.429,0.2368,2694186
1972-11-16,2.429,2.4655,2.4046,2.4655,0.2404,2863729
1972-11-17,2.4655,2.5263,2.4655,2.5263,0.2463,7296497
1972-11-20,2.5263,2.5384,2.506,2.5344,0.2471,4953727
1972-11-21,2.5344,2.5587,2.5303,2.5547,0.2491,2928463
1972-11-22,2.5547,2.5547,2.5303,2.5384,0.2475,2290366
1972-11-24,2.5384,2.5384,2.4938,2.5141,0.2451,2093080
1972-11-27,2.502,2.502,2.4452,2.4736,0.2412,3101088
1972-11-28,2.4736,2.4736,2.4209,2.433,0.2372,1633774
1972-11-29,2.433,2.4371,2.3884,2.4168,0.2357,3353861
1972-11-30,2.4168,2.4492,2.4127,2.4452,0.2384,1180633
1972-12-01,2.4452,2.4614,2.4411,2.4573,0.2396,1673848
1972-12-04,2.4655,2.4938,2.4655,2.4695,0.2408,1664600
1972-12-05,2.4695,2.5222,2.4655,2.5222,0.2459,3631294
1972-12-06,2.5222,2.5303,2.5101,2.5263,0.2463,2318110
1972-12-07,2.5263,2.5466,2.506,2.5425,0.2479,2913050
1972-12-08,2.5344,2.5344,2.5101,2.5141,0.2451,2006768
1972-12-11,2.5141,2.5425,2.5101,2.5384,0.2475,2644865
1972-12-12,2.5384,2.5384,2.5101,2.5182,0.2455,3905645
1972-12-13,2.5182,2.5222,2.502,2.5141,0.2451,1960529
1972-12-14,2.5141,2.5263,2.506,2.5222,0.2459,2410588
1972-12-15,2.5222,2.5222,2.4817,2.4817,0.242,1874216
1972-12-18,2.4492,2.4492,2.3925,2.3965,0.2337,2666443
1972-12-19,2.3965,2.4371,2.3884,2.4127,0.2353,1202211
1972-12-20,2.4127,2.429,2.4046,2.4046,0.2345,1066577
1972-12-21,2.4046,2.429,2.4006,2.4046,0.2345,2416753
1972-12-22,2.4087,2.4492,2.4087,2.4492,0.2388,1516636
1972-12-26,2.4573,2.506,2.4573,2.506,0.2444,1966694
1972-12-27,2.506,2.5628,2.502,2.5628,0.2499,2617121
1972-12-29,2.5709,2.5912,2.5709,2.5831,0.2519,2706516
1973-01-02,2.5831,2.5871,2.5506,2.5628,0.2499,1784821
1973-01-03,2.5628,2.5628,2.5101,2.5344,0.2471,1926620
1973-01-04,2.5344,2.6033,2.5182,2.5993,0.2534,4025866
1973-01-05,2.5993,2.6114,2.5709,2.5993,0.2534,4133757
1973-01-08,2.5993,2.6155,2.579,2.6155,0.255,5104774
1973-01-09,2.6114,2.6114,2.5831,2.5952,0.2531,1960529
1973-01-10,2.5952,2.5952,2.5709,2.5749,0.2511,1202211
1973-01-11,2.5749,2.6723,2.5709,2.6114,0.2546,6541262
1973-01-12,2.6114,2.6277,2.5466,2.5506,0.2487,4482090
1973-01-15,2.5506,2.6033,2.5344,2.5425,0.2479,3261383
1973-01-16,2.5425,2.5466,2.4979,2.5182,0.2455,2324275
1973-01-17,2.5182,2.5425,2.5101,2.5263,0.2463,1254615
1973-01-18,2.5263,2.5263,2.4817,2.4817,0.242,2059172
1973-01-19,2.4817,2.4857,2.4411,2.4736,0.2412,3061015
1973-01-22,2.4736,2.4817,2.4452,2.4492,0.2388,1562875
1973-01-23,2.429,2.429,2.3884,2.429,0.2391,2808242
1973-01-24,2.429,2.4411,2.3965,2.4127,0.2375,3887149
1973-01-26,2.4127,2.4127,2.3844,2.4127,0.2375,2250293
1973-01-29,2.4127,2.4209,2.3925,2.4046,0.2367,2086915
1973-01-30,2.4046,2.4371,2.4006,2.4046,0.2367,4044362
1973-01-31,2.4046,2.4209,2.3965,2.4087,0.2371,995677
1973-02-01,2.4087,2.4168,2.2627,2.287,0.2251,3184318
1973-02-02,2.287,2.3195,2.283,2.287,0.2251,4075188
1973-02-05,2.287,2.3073,2.2627,2.2708,0.2235,2524643
1973-02-06,2.2708,2.283,2.2627,2.2627,0.2227,2139319
1973-02-07,2.2627,2.2951,2.2505,2.2505,0.2215,2765086
1973-02-08,2.2465,2.2465,2.1978,2.2424,0.2207,4472842
1973-02-09,2.2465,2.2789,2.2465,2.2708,0.2235,4525246
1973-02-12,2.2708,2.287,2.2708,2.2708,0.2235,964852
1973-02-13,2.3033,2.3844,2.3033,2.3114,0.2275,9371082
1973-02-14,2.2992,2.2992,2.2546,2.2546,0.2219,2626369
